TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
CLIN11;96,50;1,010000;1,05;99,73;0,96;473.285,63;23,98;;;433.500.870,60;8.664,00;Ativa;4.346.763,00
CNES11;23,00;0,075065;4,78;89,51;0,26;12.651,55;5,26;-7,17;-26,36;263.999.949,63;1.649,00;Ativa;2.949.248,00
COPP11;103,00;0,750000;0,73;111,54;0,92;1.827.632,00;5,58;;;193.499.242,46;3,00;Ativa;1.734.737,00
CPFF11;77,39;0,480000;8,74;84,47;0,90;504.248,73;2,03;-8,09;-1,90;215.659.168,01;9.572,00;Ativa;2.553.074,00
CPFO11;0,00;;0,00;31,93;;;0,87;;;90.509.108,49;528,00;Ativa;2.834.551,00
CPSH11;109,63;1,000000;5,51;115,21;0,95;2.078.897,37;7,14;;;496.242.967,03;383,00;Ativa;4.307.461,00
CPTS11;8,43;0,065000;10,50;9,15;0,92;6.425.702,97;1,05;-10,34;-5,69;2.908.951.684,03;311.604,00;Ativa;317.828.140,00
CRFF11;80,02;0,650000;9,37;91,28;0,88;141.698,46;2,52;12,48;-1,68;62.990.264,18;1.479,00;Ativa;690.040,00
CSMC11;0,00;20,665812;0,00;1.051,34;;;10,64;;;660.936.311,51;1,00;Ativa;628.663,00
CTNP11;0,00;;0,00;;;;;;;;;;0,00
CTXT11;11,59;0,010000;0,00;30,98;0,37;2.434,31;0,22;-23,80;-33,88;105.595.645,46;2.769,00;Passiva;3.408.174,00
CVBI11;93,54;0,850000;11,97;97,01;0,96;2.305.748,83;3,43;-4,28;-3,60;1.068.135.449,49;88.456,00;Ativa;11.010.228,00
CVPR11;0,00;0,850000;0,00;99,97;;;3,45;;;13.996.367,60;2,00;Ativa;140.000,00
CXAG11;81,48;0,770000;10,91;115,50;0,71;156.157,57;0,04;;;241.461.462,50;12.183,00;Ativa;2.090.621,00
CXCE11B;44,95;0,425033;10,92;64,30;0,70;19.211,40;6,39;-18,85;-24,03;110.136.544,08;3.650,00;Passiva;1.712.950,00
CXCI11;85,74;0,850000;11,79;95,01;0,90;204.718,33;1,24;;;195.511.370,33;5.352,00;Ativa;2.057.726,00
CXCO11;80,46;0,727000;11,69;101,90;0,79;159.809,17;1,19;;;399.921.808,64;14.235,00;Passiva;3.924.500,00
CXRI11;81,11;0,590000;8,47;92,77;0,87;25.834,40;3,65;4,05;-13,38;146.175.478,18;2.235,00;Ativa;1.575.760,00
CXTL11;260,00;2,097756;8,09;417,77;0,62;11.612,93;3,49;3,84;-11,88;22.391.404,97;700,00;Passiva;53.597,00
CYCR11;9,56;0,110000;12,76;9,93;0,96;366.478,33;1,30;;;162.093.128,59;14.469,00;Ativa;16.315.840,00
CYLD11;0,00;;0,00;104,36;;;7,44;;;129.584.311,54;46,00;Ativa;1.241.743,00
DAMT11B;13,35;0,042538;7,31;12,84;1,04;14.424,14;1,47;;;160.639.640,19;573,00;Passiva;12.510.797,00
DEVA11;41,20;0,420000;18,61;100,24;0,41;1.550.737,40;2,65;-22,63;-29,87;1.407.861.794,96;124.070,00;Ativa;14.044.908,00
DLMT11;0,00;0,005359;0,00;0,64;;;8,70;;;8.515.221,84;9,00;Ativa;13.225.796,00
DMAC11;13,00;4,894618;0,00;4,99;2,61;;105,14;;-50,32;778.257,90;2.352,00;Passiva;156.108,00
DOMC11;439,00;;0,00;99,29;4,42;;0,39;;;242.635.468,48;1.185,00;Ativa;2.443.800,00
DOVL11B;1.200,69;0,478191;6,02;815,25;1,47;33.619,00;5,18;14,76;;54.137.457,46;60,00;Ativa;66.406,00
DPRO11;8,01;0,050000;95,40;9,19;0,89;14.030,60;1,08;;;45.958.526,45;562,00;Ativa;5.003.220,00
DRIT11B;83,30;1,750000;9,51;134,39;0,62;1.547,00;18,64;19,00;-12,69;62.260.570,74;345,00;Ativa;463.277,00
DVFF11;8,27;0,075000;10,83;9,37;0,88;152.188,90;6,31;;;103.146.427,25;1.208,00;Ativa;11.009.500,00
EDFO11B;229,98;1,690685;9,03;223,34;1,03;7.938,50;1,43;7,20;-4,09;52.707.708,14;529,00;Passiva;236.000,00
EDGA11;21,23;0,065000;5,43;62,72;0,34;21.340,83;1,25;-12,09;-11,95;239.084.681,09;5.148,00;Passiva;3.812.055,00
EGYR11;5,55;;0,00;123,41;0,05;1.921,10;0,00;;;93.211.209,14;45,00;Passiva;755.269,00
ELDO11B;762,38;12,000000;13,88;1.624,16;0,47;;0,29;4,45;;1.278.629.207,99;63,00;Passiva;787.256,00
EQIR11;9,69;0,110000;13,62;10,01;0,97;131.468,37;14,75;;;109.210.307,40;11.036,00;Ativa;10.909.315,00
ERCR11;76.000,00;139,449698;0,00;40.034,37;1,90;;0,33;;;95.121.654,28;11,00;Passiva;2.376,00
ERPA11;119,00;0,720000;7,18;141,62;0,84;54.477,57;1,02;;;70.940.195,61;390,00;Passiva;500.922,00
ESTQ11;0,00;;0,00;0,02;;;23,71;;;1.042.124,79;5,00;Ativa;65.361.974,00
EURO11;249,10;1,880000;8,93;337,61;0,74;51.687,83;1,49;8,63;4,76;129.621.705,03;2.359,00;Passiva;383.936,00
EVBI11;98,00;0,750000;9,30;97,50;1,01;442.274,33;1,54;;-3,78;235.321.427,84;1.017,00;Ativa;2.413.519,00
EXES11;88,44;0,780000;11,05;91,32;0,97;508,00;29,33;;;53.608.896,58;58,00;Ativa;587.072,00
FAED11;157,00;1,464555;11,71;223,93;0,70;55.483,60;1,72;9,44;-6,65;143.802.917,13;4.642,00;Passiva;642.168,00
FAGL11;0,00;;0,00;;;;;;;;;;3.000.000,00
FAMB11B;809,00;9,160000;0,00;2.354,50;0,34;66.382,11;0,35;-9,82;-17,12;262.875.470,32;2.535,00;Passiva;111.648,00
FARU11;0,00;;0,00;;;;;;;;;;8.000.000,00
FATN11;92,14;0,850000;10,91;103,85;0,89;896.419,47;1,42;6,67;-3,73;288.825.085,82;4.187,00;Ativa;2.781.102,00
FCAS11;0,00;0,121915;0,00;60,79;;;186,17;;;80.684.223,04;2,00;Passiva;1.327.300,00
FCFL11;118,49;0,860000;8,24;121,95;0,97;241.204,20;0,69;6,83;0,71;423.646.925,14;3.510,00;Ativa;3.474.010,00
FGPM11;0,00;;0,00;;;;;;;;;;0,00
FIGS11;60,97;0,450000;8,87;81,34;0,75;221.352,13;0,67;20,92;-3,56;231.806.292,88;14.601,00;Passiva;2.850.000,00
FIIB11;521,91;3,650000;8,00;472,35;1,10;235.667,00;1,08;1,98;-0,95;323.560.769,09;16.505,00;Passiva;685.000,00
FIIP11B;177,00;1,440000;9,51;203,51;0,87;62.669,97;1,29;4,08;-4,11;188.690.525,43;7.552,00;Passiva;927.162,00
FINF11;0,00;0,291549;0,00;40,42;;;2,63;22,42;;33.149.297,92;4,00;Ativa;820.112,00
FISC11;55,50;0,290000;8,59;120,22;0,46;3.182,50;1,66;;;204.374.810,55;110,00;Ativa;1.699.996,00
FISD11;0,00;6,526269;0,00;59,88;;;6,43;;;64.225.072,21;23,00;Ativa;1.072.588,00
FIVN11;2,97;;0,00;7,65;0,39;3.375,80;0,00;;-8,05;72.046.045,75;4.089,00;Passiva;9.412.630,00
FLCR11;98,39;1,130000;13,65;99,67;0,99;49.639,47;9,72;;-2,14;63.152.666,87;2.724,00;Ativa;633.604,00
FLFL11;0,00;;0,00;97,86;;;7,48;;;142.049.996,56;121,00;Ativa;1.451.500,00
FLMA11;140,00;0,990000;7,85;216,64;0,65;95.014,70;1,05;19,35;-0,71;299.102.183,65;14.793,00;Ativa;1.380.670,00
FLRP11;2.049,99;13,500000;8,05;2.311,98;0,89;177.058,41;1,16;34,78;16,84;150.815.070,01;798,00;Passiva;65.232,00
FMOF11;56,99;0,460000;1,07;116,80;0,49;924,54;1,79;8,56;-7,06;59.337.504,93;261,00;Passiva;508.008,00
FOFT11;123,00;1,900000;0,00;110,21;1,12;;5,10;-47,71;;131.819.480,59;3.846,00;Ativa;1.196.040,00
FPAB11;190,00;0,900000;9,92;340,09;0,56;11.989,61;4,49;7,66;-13,99;255.064.298,29;914,00;Passiva;750.000,00
FPNG11;85,07;0,340000;8,26;174,44;0,49;850,00;1,04;2,28;;349.106.505,16;68,00;Ativa;2.001.355,00
FRHY11;0,00;1,030000;0,00;41,31;;;6,08;;;5.391.293,46;7,00;Ativa;130.500,00
FTCE11B;2.900,89;112,959603;6,86;2.929,07;0,99;;3,23;;;2.992.170.362,18;112,00;Ativa;1.021.541,00
