TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
VILG11;95,34;0,640000;8,38;114,09;0,84;3.039.677,27;1,40;3,63;-7,83;1.711.089.166,83;162.062,00;Ativa;14.997.396,00
VINO11;7,81;0,058000;9,35;10,84;0,72;1.025.529,87;2,06;-15,17;-14,74;897.853.061,93;147.056,00;Ativa;82.826.295,00
VISC11;121,43;1,000000;8,75;133,71;0,91;6.912.866,07;24,16;20,83;1,41;2.840.393.253,01;275.919,00;Ativa;21.243.688,00
VIUR11;7,95;0,072000;10,87;8,96;0,89;356.562,77;3,93;;;241.376.040,40;49.606,00;Ativa;26.946.220,00
VJFD11;0,00;0,750000;0,00;136,28;;;0,72;;;664.512.886,86;97,00;Ativa;4.876.129,00
VLIQ11;0,00;;0,00;0,00;;;;;;0,00;1,00;Ativa;0,00
VLJS11;1.141,14;28,819221;0,00;937,80;1,22;;0,67;;;24.447.272,32;9,00;Passiva;26.068,00
VLOL11;98,00;1,856441;3,86;111,06;0,88;160.238,13;16,46;14,56;-1,32;198.219.080,15;3.127,00;Passiva;1.784.828,00
VOTS11;82,01;0,950000;16,55;94,23;0,87;12.036,93;3,70;12,47;-2,31;78.013.384,44;691,00;Ativa;827.913,00
VPSI11;0,00;0,234003;0,00;31,42;;;0,84;23,41;;253.654.548,31;53,00;Passiva;8.071.897,00
VRTA11;87,30;0,750000;11,42;94,10;0,93;2.312.708,57;3,75;-7,27;-8,56;1.467.190.277,61;123.262,00;Ativa;15.592.424,00
VSEC11;0,21;0,080000;285,71;0,00;;2,50;;-0,62;-86,74;0,00;0,00;Ativa;0,00
VSHO11;83,60;0,700000;10,18;101,06;0,83;65.604,67;1,02;19,51;0,96;212.095.101,51;3.835,00;Ativa;2.098.800,00
VSLH11;4,19;0,040000;11,93;10,73;0,39;270.915,63;1,51;;;320.294.174,01;87.757,00;Ativa;29.864.091,00
VTLT11;95,97;0,890000;11,01;112,52;0,85;130.645,63;2,95;5,36;-5,47;237.986.610,72;6.052,00;Ativa;2.115.000,00
VTPA11;0,00;;0,00;104,62;;;0,61;;;69.036.138,32;1,00;Ativa;659.857,00
VTPL11;0,00;5,110000;0,00;72,32;;;3,64;;;100.251.377,59;1,00;Ativa;1.386.242,00
VTRT11;0,00;0,107508;0,00;100,80;;;20,14;;;1.030.654.046,20;499,00;Ativa;10.224.963,00
VTVI11;0,00;;0,00;34,65;;;1,48;;;61.715.316,97;1,00;Ativa;1.780.984,00
VTXI11;0,00;;0,00;8,33;;;31,20;;;861.916,93;2,00;Ativa;103.500,00
VVCO11;13,52;0,323281;0,00;13,71;0,99;242.867,50;4,54;;23,66;135.713.104,79;3.630,00;Ativa;9.900.000,00
VVCR11;20,73;0,180000;15,21;21,91;0,95;172.315,77;7,38;-15,80;-36,67;40.532.761,09;2.767,00;Ativa;1.849.829,00
VVPR11;101,50;0,892340;0,00;98,03;1,04;;1,27;;0,07;226.032.234,18;1.372,00;Ativa;2.305.771,00
VVRI11;97,15;1,300000;12,46;109,70;0,89;199.915,37;0,24;;;43.880.528,19;133,00;Ativa;400.000,00
VXXV11;1.020,00;10,760000;0,00;1.147,35;0,89;4.547.925,00;0,20;;;307.599.106,69;20,00;Ativa;268.096,00
WHGR11;9,76;0,100000;12,50;9,96;0,98;748.370,10;3,97;;;250.010.357,04;13.002,00;Ativa;25.089.531,00
WPLZ11;67,99;0,410000;7,63;89,03;0,76;4.135,77;2,73;10,66;-2,10;94.775.659,80;1.874,00;Passiva;1.064.549,00
WSEC11;84,09;1,000000;17,35;100,88;0,83;15.568,90;6,37;;;24.781.361,10;476,00;Ativa;245.651,00
WTSP11B;36,00;1,150000;10,50;79,97;0,45;3.852,00;1,81;25,15;-13,25;79.374.720,64;215,00;Ativa;992.565,00
XBXO11;0,00;;0,00;94,78;;;0,10;;;288.362.989,58;6,00;Ativa;3.042.600,00
XPCI11;88,11;0,760000;12,46;93,58;0,94;1.769.516,10;3,30;-0,48;-2,43;814.257.093,26;77.104,00;Ativa;8.701.551,00
XPCM11;10,10;0,020000;9,51;29,30;0,34;35.654,43;7,32;-34,84;-42,08;70.753.126,38;23.732,00;Passiva;2.414.570,00
XPIN11;81,75;0,630000;9,52;102,67;0,80;1.154.464,67;2,35;1,05;-11,01;734.131.689,03;49.070,00;Ativa;7.150.422,00
XPLG11;110,93;0,780000;8,28;110,34;1,01;8.388.637,07;10,70;7,69;-3,17;3.267.595.223,68;320.579,00;Ativa;29.613.233,00
XPML11;115,45;0,900000;8,65;111,91;1,03;14.277.150,10;10,99;22,47;-0,30;3.449.365.012,08;409.164,00;Ativa;30.822.213,00
XPPR11;21,44;0,100000;6,53;68,21;0,31;384.046,17;3,34;-39,04;-35,80;499.057.480,96;55.733,00;Ativa;7.316.171,00
XPSF11;8,49;0,075000;10,71;8,66;0,98;624.391,57;3,92;0,90;-4,15;375.011.611,85;62.335,00;Ativa;43.302.140,00
YUFI11;79,99;0,389271;3,49;102,27;0,78;255,00;2,33;;;50.383.877,76;60,00;Ativa;492.650,00
ZAVI11;127,71;1,240000;10,59;133,77;0,95;330.283,47;2,57;;;156.959.628,57;5.007,00;Ativa;1.173.322,00
ZIFI11;800,00;3,304958;0,00;1.200,53;0,67;40.094,06;0,01;;;57.007.064,45;69,00;Ativa;47.485,00
